StationId,Lat,Lon,SoundingDate,PresHPa,HeightM,TempC,DwptC,RH,Wind_D,Wind_S
72317,32,20,2018060600,1000.0,63,,,,,
72317,32,20,2018060600,976.0,270,15.6,14.4,93.0,220.0,3.0864
72317,32,20,2018060600,958.0,430,16.8,14.5,86.0,229.0,7.201599999999999
72317,32,20,2018060600,955.0,457,16.8,14.4,86.0,231.0,8.2304
72317,32,20,2018060600,938.0,610,16.1,12.8,81.0,240.0,12.3456
72317,32,20,2018060600,925.0,730,15.6,11.6,77.0,250.0,12.86
72317,32,20,2018060600,914.0,832,15.2,10.2,72.0,256.0,13.8888
72317,32,20,2018060600,905.1,914,14.7,9.6,71.0,260.0,14.403199999999998
72317,32,20,2018060600,873.0,1219,12.8,7.2,69.0,270.0,18.003999999999998
72317,32,20,2018060600,850.0,1444,11.4,5.4,67.0,270.0,22.1192
72317,32,20,2018060600,841.9,1524,11.2,5.2,67.0,270.0,22.1192
72317,32,20,2018060600,839.0,1553,11.2,5.2,67.0,270.0,21.604799999999997
72317,32,20,2018060600,811.3,1829,9.3,4.5,72.0,270.0,19.032799999999998
72317,32,20,2018060600,781.8,2134,7.2,3.8,79.0,260.0,15.946399999999999
72317,32,20,2018060600,753.5,2438,5.1,3.1,87.0,240.0,20.0616
72317,32,20,2018060600,728.0,2721,3.2,2.4,94.0,235.0,21.604799999999997
72317,32,20,2018060600,726.1,2743,3.1,2.3,94.0,235.0,21.604799999999997
72317,32,20,2018060600,715.0,2867,2.6,1.7,94.0,237.0,23.662399999999998
72317,32,20,2018060600,700.0,3039,2.2,-0.2,84.0,240.0,26.7488
72317,32,20,2018060600,699.2,3048,2.2,-0.3,84.0,240.0,28.291999999999998
72317,32,20,2018060600,676.0,3320,1.2,-3.7,70.0,242.0,28.806399999999996
72317,32,20,2018060600,648.0,3658,-1.6,-5.5,75.0,245.0,29.835199999999997
72317,32,20,2018060600,624.0,3958,-4.1,-7.1,80.0,240.0,29.835199999999997
72317,32,20,2018060600,612.0,4111,-4.5,-9.5,68.0,238.0,30.3496
72317,32,20,2018060600,599.9,4267,-5.7,-10.2,70.0,235.0,30.3496
72317,32,20,2018060600,576.9,4572,-7.9,-11.5,75.0,230.0,31.3784
72317,32,20,2018060600,563.0,4763,-9.3,-12.3,79.0,230.0,31.892799999999998
72317,32,20,2018060600,554.7,4877,-10.1,-13.8,74.0,230.0,32.407199999999996
72317,32,20,2018060600,531.0,5212,-12.3,-18.3,61.0,235.0,34.9792
72317,32,20,2018060600,523.0,5328,-13.3,-17.4,71.0,237.0,36.007999999999996
72317,32,20,2018060600,518.0,5401,-13.1,-15.1,85.0,239.0,36.5224
72317,32,20,2018060600,512.3,5486,-13.6,-15.5,85.0,240.0,37.0368
72317,32,20,2018060600,500.0,5670,-14.7,-16.5,86.0,240.0,36.5224
72317,32,20,2018060600,472.4,6096,-17.1,-19.2,84.0,245.0,32.9216
72317,32,20,2018060600,429.0,6817,-21.3,-23.7,81.0,245.0,30.863999999999997
72317,32,20,2018060600,400.0,7330,-25.1,-28.0,77.0,245.0,29.3208
72317,32,20,2018060600,386.0,7588,-27.1,-29.6,79.0,245.0,28.806399999999996
72317,32,20,2018060600,384.3,7620,-27.3,-30.2,76.0,245.0,28.806399999999996
72317,32,20,2018060600,376.0,7776,-28.5,-33.3,63.0,245.0,28.291999999999998
72317,32,20,2018060600,352.7,8230,-32.2,-36.5,65.0,245.0,26.234399999999997
72317,32,20,2018060600,351.0,8264,-32.5,-36.8,65.0,245.0,26.234399999999997
72317,32,20,2018060600,334.0,8612,-34.7,-42.7,44.0,245.0,28.806399999999996
72317,32,20,2018060600,316.0,8996,-38.3,-45.3,48.0,245.0,30.863999999999997
72317,32,20,2018060600,309.2,9144,-39.7,-45.5,54.0,245.0,31.892799999999998
72317,32,20,2018060600,300.0,9350,-41.7,-45.9,64.0,250.0,33.436
72317,32,20,2018060600,298.0,9395,-42.1,-46.0,66.0,250.0,33.950399999999995
72317,32,20,2018060600,270.0,10056,-47.3,-51.8,60.0,243.0,38.58
72317,32,20,2018060600,257.6,10363,-50.0,-56.0,49.0,240.0,41.152
72317,32,20,2018060600,250.0,10560,-51.7,-58.7,43.0,240.0,43.724
72317,32,20,2018060600,244.0,10718,-52.9,-60.9,37.0,243.0,45.267199999999995
72317,32,20,2018060600,223.0,11294,-58.1,-64.1,46.0,254.0,51.9544
72317,32,20,2018060600,220.0,11380,-57.9,-64.9,40.0,256.0,52.9832
72317,32,20,2018060600,213.1,11582,-59.1,-65.1,46.0,260.0,55.0408
72317,32,20,2018060600,213.0,11584,-59.1,-65.1,46.0,260.0,55.0408
72317,32,20,2018060600,205.0,11825,-58.9,-66.9,35.0,263.0,52.468799999999995
72317,32,20,2018060600,200.0,11980,-59.9,-67.9,34.0,265.0,50.925599999999996
72317,32,20,2018060600,197.0,12074,-60.7,-68.7,34.0,265.0,50.925599999999996
72317,32,20,2018060600,193.0,12201,-60.1,-69.1,30.0,262.0,51.9544
72317,32,20,2018060600,192.0,12233,-58.5,-68.5,26.0,261.0,52.468799999999995
72317,32,20,2018060600,186.0,12433,-56.1,-69.1,18.0,257.0,54.526399999999995
72317,32,20,2018060600,184.1,12497,-56.3,-70.4,15.0,255.0,55.0408
72317,32,20,2018060600,182.0,12570,-56.5,-71.8,13.0,255.0,55.0408
72317,32,20,2018060600,179.0,12675,-56.9,-73.9,10.0,255.0,54.01199999999999
72317,32,20,2018060600,167.0,13114,-55.7,-78.7,4.0,255.0,50.925599999999996
72317,32,20,2018060600,153.0,13666,-58.1,-89.1,1.0,255.0,46.810399999999994
72317,32,20,2018060600,150.0,13790,-57.5,-89.5,1.0,255.0,45.7816
72317,32,20,2018060600,147.0,13918,-57.5,-89.5,1.0,254.0,44.2384
72317,32,20,2018060600,137.0,14363,-57.7,-89.7,1.0,252.0,39.608799999999995
72317,32,20,2018060600,131.2,14630,-59.6,-90.7,1.0,250.0,37.0368
72317,32,20,2018060600,118.9,15240,-64.0,-92.9,1.0,260.0,39.608799999999995
72317,32,20,2018060600,114.0,15501,-65.9,-93.9,1.0,260.0,39.608799999999995
72317,32,20,2018060600,113.2,15545,-65.9,-93.7,1.0,260.0,39.608799999999995
72317,32,20,2018060600,108.0,15830,-65.7,-92.7,1.0,262.0,36.5224
72317,32,20,2018060600,106.0,15944,-64.1,-92.1,1.0,263.0,35.4936
72317,32,20,2018060600,105.0,16002,-63.7,-91.7,1.0,263.0,34.4648
72317,32,20,2018060600,100.0,16300,-65.7,-92.7,1.0,265.0,31.3784
72317,32,20,2018060600,97.0,16485,-66.9,-92.9,1.0,267.0,26.234399999999997
72317,32,20,2018060600,92.9,16747,-65.1,-93.1,1.0,270.0,19.032799999999998
72317,32,20,2018060600,92.6,16764,-65.1,-93.0,1.0,270.0,18.5184
72317,32,20,2018060600,89.6,16967,-65.3,-92.3,1.0,262.0,17.4896
72317,32,20,2018060600,79.7,17678,-67.7,-93.1,2.0,235.0,14.403199999999998
72317,32,20,2018060600,77.1,17876,-68.3,-93.3,2.0,238.0,18.003999999999998
72317,32,20,2018060600,75.7,17983,-67.7,-92.7,2.0,240.0,20.0616
72317,32,20,2018060600,72.0,18288,-66.1,-91.1,2.0,245.0,15.431999999999999
72317,32,20,2018060600,70.7,18400,-65.5,-90.5,2.0,245.0,15.431999999999999
72317,32,20,2018060600,70.0,18460,-66.1,-92.1,2.0,245.0,15.431999999999999
72317,32,20,2018060600,67.3,18697,-67.7,-93.7,1.0,245.0,14.917599999999998
72317,32,20,2018060600,61.1,19279,-67.3,-93.3,1.0,245.0,14.403199999999998
72317,32,20,2018060600,58.3,19562,-65.1,-92.1,1.0,245.0,13.8888
72317,32,20,2018060600,56.6,19742,-65.5,-92.5,1.0,245.0,13.3744
72317,32,20,2018060600,56.0,19812,-64.1,-91.9,1.0,245.0,13.3744
72317,32,20,2018060600,55.1,19907,-62.1,-91.1,1.0,248.0,14.403199999999998
72317,32,20,2018060600,53.3,20117,-62.0,-91.7,1.0,255.0,17.4896
72317,32,20,2018060600,52.5,20205,-61.9,-91.9,1.0,252.0,14.403199999999998
72317,32,20,2018060600,51.9,20276,-60.7,-90.7,1.0,249.0,11.831199999999999
72317,32,20,2018060600,50.8,20410,-58.1,-90.6,1.0,244.0,6.6872
72317,32,20,2018060600,50.0,20510,-58.7,-90.5,1.0,240.0,3.0864
72317,32,20,2018060600,48.3,20726,-59.4,-90.3,1.0,250.0,1.0288
72317,32,20,2018060600,46.0,21031,-60.3,-90.1,1.0,250.0,5.144
72317,32,20,2018060600,45.6,21085,-60.5,-90.0,1.0,248.0,5.658399999999999
72317,32,20,2018060600,44.5,21238,-58.5,-89.9,1.0,243.0,6.6872
72317,32,20,2018060600,43.8,21336,-58.6,-89.8,1.0,240.0,7.715999999999999
72317,32,20,2018060600,41.7,21641,-59.1,-89.6,1.0,230.0,9.2592
72317,32,20,2018060600,40.1,21890,-59.5,-89.4,1.0,242.0,10.802399999999999
72317,32,20,2018060600,39.8,21946,-59.2,-89.3,1.0,245.0,11.316799999999999
72317,32,20,2018060600,36.9,22413,-56.9,-89.0,1.0,115.0,3.0864
72317,32,20,2018060600,36.1,22555,-57.3,-88.8,1.0,75.0,0.5144
72317,32,20,2018060600,33.2,23079,-58.7,-88.4,1.0,204.0,5.144
72317,32,20,2018060600,32.8,23165,-58.1,-88.3,1.0,225.0,5.658399999999999
72317,32,20,2018060600,31.2,23470,-56.1,-88.1,1.0,290.0,9.2592
72317,32,20,2018060600,30.9,23532,-55.7,-88.0,1.0,295.0,8.2304
72317,32,20,2018060600,30.0,23720,-56.5,-87.9,1.0,310.0,5.658399999999999
72317,32,20,2018060600,29.8,23774,-56.5,-87.8,1.0,300.0,6.6872
72317,32,20,2018060600,27.0,24384,-56.0,-87.3,1.0,140.0,4.1152
72317,32,20,2018060600,25.5,24755,-55.7,-87.0,1.0,108.0,4.1152
72317,32,20,2018060600,23.1,25393,-50.7,-86.5,1.0,54.0,4.1152
72317,32,20,2018060600,20.0,26330,-52.7,-85.8,1.0,335.0,4.1152
72317,32,20,2018060600,17.7,27127,-54.3,-85.2,1.0,335.0,6.6872
72317,32,20,2018060600,16.8,27432,-55.0,-84.9,1.0,330.0,4.6296
72317,32,20,2018060600,15.7,27883,-55.9,-84.6,2.0,325.0,3.6007999999999996
72317,32,20,2018060600,14.6,28346,-55.5,-84.2,2.0,320.0,2.0576
72317,32,20,2018060600,14.1,28568,-55.3,-84.0,2.0,312.0,3.0864
72317,32,20,2018060600,13.3,28942,-53.3,-83.7,1.0,297.0,4.1152
72317,32,20,2018060600,10.8,30288,-52.1,-82.6,1.0,247.0,9.2592
72317,32,20,2018060600,10.5,30480,-50.8,-82.5,1.0,240.0,9.7736
72317,32,20,2018060600,10.0,30790,-48.7,-82.2,1.0,230.0,12.3456
72317,32,20,2018060600,9.9,30856,-48.3,-82.2,1.0,234.0,11.831199999999999
72317,32,20,2018060600,9.1,31394,-46.9,-81.8,1.0,270.0,9.7736
72317,32,20,2018060600,9.0,31486,-46.7,-81.7,1.0,,
